utterance,speech_intent,es_speech_intent_detect_conf,nbr_calls,cx_intent,cx_score
cut plexiglass,Store Details,0.85,10,Store Details,0.71
fluorescent light bulb recycling,Store Details,0.78,10,Store Details,0.73
metal cutting,Store Details,0.77,10,Store Details,0.61
are you smell,Store Hours,0.75,10,Default Fallback,0.50
H hours,Store Hours,0.8,10,Store Hours,0.79
a pro propane heater,Store Details,0.85,10,Store Details,0.79
Raj door opener,Store Hours,0.82,10,Store Hours,0.85
fluorescent tube recycling,Store Details,0.83,10,Store Details,0.74
recycling information,Store Details,0.75,10,Store Details,0.76
call to recycle,Store Details,0.78,10,Store Details,0.74
